"","year","PIB","ISPN","VAB","VAB_A1","VAB_A2","VAB_A3"
"1",1980,7642962.1,285646.4,7357315.7,307461.4,2928847,4121007.4
"2",1981,8368150.3,312749.5,8055400.8,331315.4,3252881.2,4471204.2
"3",1982,8367515.7,312725.7,8054789.9,323831,3217709,4513249.9
"4",1983,8002442.6,299081.6,7703361,330311.6,2908089.4,4464960
"5",1984,8281464.7,309509.7,7971955,334969,3038140.1,4598845.9
"6",1985,8437038.4,315324.1,8121714.3,345105.8,3146659.4,4629949.1
"7",1986,8124165.4,303630.8,7820534.6,340507.9,2941596.8,4538429.8
"8",1987,8292363.8,309917,7982446.7,344777.1,3044010.8,4593658.9
"9",1988,8398436.4,313881.4,8084555,333104.3,3102456,4648994.7
"10",1989,8705395.4,325353.6,8380041.8,328403.6,3226680.4,4824957.7
"11",1990,9158810,342299.4,8816510.6,352253.7,3429034.4,5035222.5
"12",1991,9528605.9,356120.1,9172485.8,360149.9,3530898.2,5281437.7
"13",1992,9862877.4,368613.1,9494264.3,352125,3666119.5,5476019.7
"14",1993,10165571.2,394683,9770888.2,369721.9,3683940.2,5717226.1
"15",1994,10667860.2,425329.3,10242531,370145.5,3888576.4,5983809.2
"16",1995,9996720.5,386641.5,9610079.1,375365.8,3465384.4,5769328.9
"17",1996,10673824.3,410052.6,10263771.7,390093.9,3875011,5998666.8
"18",1997,11404645.3,440359.5,10964285.8,390019.7,4180869.5,6393396.7
"19",1998,11993572.6,459035.6,11534537,401975.5,4430591.8,6701969.7
"20",1999,12323822.1,478609.3,11845212.8,407417.6,4498700.1,6939095.2
"21",2000,12932921.3,488418.8,12444502.5,410959.4,4696501.7,7337041.3
"22",2001,12880621.9,492640.8,12387981.1,432955.9,4593954.8,7361070.4
"23",2002,12875489.7,495816.7,12379673,429031.1,4524900.9,7425741
"24",2003,13061718.5,502613.4,12559105.2,445468,4604522.2,7509114.9
"25",2004,13573815.1,523127.9,13050687.2,455970.7,4781935.7,7812780.8
"26",2005,13887072.5,539350.6,13347721.9,439348.7,4884760,8023613.2
"27",2006,14511307.2,579923.5,13931383.7,466935.9,5086479.8,8377968
"28",2007,14843826,589361.7,14254464.2,486682.2,5133607.9,8634174.1
"29",2008,15013577.7,610821.1,14402756.6,486465,5079733.6,8836558.1
"30",2009,14219998.4,571451.4,13648547,476156.1,4699986.7,8472404.2
"31",2010,14947795,595394,14352401,488029,4913184,8951187
"32",2011,15495333.6,619537,14875796.6,469661.6,5053169.7,9352965.3
"33",2012,16059723.7,628731.1,15430992.5,499515.5,5196909.9,9734567.1
"34",2013,16277187.1,634567.2,15642619.8,510905.7,5185312.4,9946401.7
"35",2014,16741050,673892.2,16067157.8,530062.5,5318730.1,10218365.2
"36",2015,17292358.1,712944.6,16579413.5,541029.4,5377312.1,10661072
"37",2016,17747239.2,764688.9,16982550.3,560060.3,5394332.9,11028157.1
"38",2017,18122261.3,792452,17329809.4,578962.4,5380885.6,11369961.4
"39",2018,18520043.512,818752.718,17701290.794,592120.578,5407825.942,11701344.274
"40",2019,18509944.916,819270.75,17690674.166,593807.328,5317413.687,11779453.151
